1	234	89	78
2	247	112	94
3	184	43	17
4	204	120	34
5	194	130	116
6	192	113	105
7	187	19	24
8	187	74	68
9	176	121	60
10	234	162	110
11	223	91	111
12	204	133	109
13	237	93	105
14	222	144	77
15	247	85	111
16	218	21	23
17	184	98	100
18	202	97	64
19	214	70	8
20	210	120	65
21	220	36	41
22	198	64	23
23	183	135	95
24	175	32	17
25	158	46	43
26	145	30	2
27	85	1	1
28	154	46	27
29	207	17	5
30	224	27	41
31	228	79	0
32	165	79	59
33	233	56	65
34	227	144	78
35	222	89	69
36	225	133	114
37	211	76	58
38	222	60	74
39	185	46	26
40	180	68	30
41	224	95	29
42	170	81	78
43	178	84	87
44	225	62	49
45	226	110	110
46	226	101	107
47	208	61	65
48	133	114	41
49	238	110	105
50	239	221	233
51	195	110	109
52	198	40	7
53	213	11	11
54	189	102	103
55	144	61	34
56	216	80	30
57	227	106	12
58	240	133	115
59	214	133	92
60	235	153	79
61	244	218	205
62	255	91	112
63	243	40	120
64	172	176	111
65	187	92	35
66	209	70	23
67	184	64	57
68	175	88	92
69	162	66	50
70	209	76	87
71	205	72	52
72	254	90	100
73	255	87	92
74	206	20	24
75	184	35	7
76	218	64	1
77	192	96	91
78	232	147	117
79	241	133	136
80	99	40	15
81	204	37	8
82	237	104	109
83	229	34	36
84	231	88	52
85	160	48	15
86	213	104	24
87	184	62	28
88	179	22	9
89	169	26	39
90	168	12	26
91	178	19	8
92	178	35	5
93	174	21	10
94	255	122	0
95	182	65	33
96	220	143	159
97	223	78	41
98	226	68	62
99	236	133	132
100	227	73	25
101	221	105	34
102	224	114	85
103	209	121	100
104	223	67	74
105	220	93	107
106	222	119	106
107	191	131	112
108	173	93	98
109	197	119	143
110	228	125	133
111	235	140	160
112	232	79	25
113	233	54	38
114	243	122	118
115	229	91	60
116	241	143	90
117	214	98	19
118	242	94	92
119	231	95	107
120	172	107	41
121	196	103	44
122	225	152	1
123	164	51	0
124	205	56	0
125	252	127	99
126	224	57	77
127	219	91	10
128	218	28	40
129	205	91	84
130	244	169	161
131	239	101	122
132	218	159	132
133	128	88	51
134	229	97	84
135	225	93	61
136	151	73	66
137	236	146	98
138	235	107	99
139	235	151	92
140	228	130	112
141	234	68	83
142	233	88	72
143	200	120	99
144	231	24	66
145	234	49	83
146	230	96	7
147	144	21	34
148	229	26	30
149	149	140	53
150	160	20	19
151	144	50	26
152	196	43	3
153	187	99	14
154	57	28	30
155	96	39	33
156	242	155	143
157	209	111	122
158	240	110	124
159	239	113	119
160	223	114	74
161	239	129	120
162	238	149	116
163	220	101	112
164	235	62	85
165	221	71	43
166	233	147	134
167	232	93	72
168	241	146	133
169	235	106	89
170	220	95	72
171	234	68	74
172	208	80	82
173	230	85	75
174	229	100	102
175	197	86	78
176	188	95	66
177	233	124	67
178	170	87	93
179	213	56	15
180	198	40	4
181	187	100	76
182	229	23	33
183	232	68	49
184	150	75	29
185	192	82	21
186	172	86	43
187	232	67	51
188	227	75	46
189	210	95	87
190	226	108	54
191	237	123	97
192	229	79	28
193	229	79	27
194	234	82	71
195	228	44	27
196	196	78	53
197	207	105	27
198	110	69	70
199	236	84	99
200	237	123	101
201	198	85	116
202	229	66	0
203	232	74	63
204	228	104	0
205	211	121	97
206	217	32	25
207	187	194	195
208	219	150	112
209	239	107	123
210	228	119	97
211	209	110	84
212	228	62	0
213	218	77	79
214	234	105	80
215	240	130	129
216	46	99	71
217	234	86	81
218	232	24	70
219	237	126	108
220	208	107	84
221	189	84	81
222	204	107	74
223	220	44	0
224	229	49	47
225	207	88	29
226	233	129	108
227	203	132	122
228	225	75	36
229	230	157	105
230	150	143	81
231	224	47	38
232	182	49	38
233	235	89	89
234	134	109	85
235	190	14	3
236	216	210	177
237	237	142	150
238	244	163	162
239	234	167	153
240	239	112	130
241	240	157	136
242	229	151	147
243	238	144	136
244	225	72	65
245	233	38	71
246	236	134	122
247	240	131	123
248	223	115	108
249	222	109	66
250	223	91	68
251	234	113	80
252	254	169	84
253	225	123	95
254	219	93	43
255	234	110	70
256	250	220	220
257	218	136	118
258	240	112	125
259	229	56	13
260	238	247	243
261	245	141	165
262	230	140	120
263	143	81	89
264	229	97	84
265	225	93	61
266	151	73	66
267	236	146	98
268	229	118	62
269	213	127	103
270	214	63	60
271	177	83	66
272	163	51	39
273	186	31	6
274	237	126	113
275	250	207	207
276	229	97	84
277	225	93	61
278	151	73	66
279	236	146	98
280	250	220	220
281	244	169	161
282	239	101	122
283	218	159	132
284	128	88	51
285	169	52	16
286	169	52	16
287	185	4	2
288	247	116	57
289	199	63	66
290	243	84	39
291	255	92	79
292	127	60	46
293	205	120	66
294	221	103	73
295	169	60	51
296	223	22	34
297	152	20	12
298	191	100	125
299	228	31	56
300	171	32	7
301	185	4	2
302	247	116	57
303	199	63	66
304	243	84	39
305	255	92	79
306	127	60	46
307	205	120	66
308	221	103	73
309	169	60	51
310	223	22	34
311	152	20	12
312	191	100	125
313	228	31	56
314	171	32	7
315	165	46	1
316	165	46	1
317	143	51	38
318	254	84	91
319	161	6	0
320	212	31	56
321	199	23	12
322	146	9	5
323	184	6	5
324	149	55	56
325	235	77	88
326	235	77	88
327	226	46	6
328	235	145	97
329	178	97	72
330	230	104	21
331	224	78	54
332	142	47	23
333	210	91	71
334	220	83	44
335	237	87	88
336	220	107	68
337	169	51	20
338	248	183	166
339	226	46	6
340	235	145	97
341	178	97	72
342	230	104	21
343	224	78	54
344	142	47	23
345	210	91	71
346	220	83	44
347	237	87	88
348	220	107	68
349	169	51	20
350	248	183	166
351	244	82	8
352	244	82	8
353	254	49	79
354	255	141	156
355	255	141	156
356	196	41	1
357	237	35	38
358	200	14	30
359	151	6	14
360	232	132	127
361	197	75	73
362	220	159	65
363	248	151	117
364	255	153	109
365	255	192	152
366	180	9	18
367	255	79	57
368	255	98	53
369	254	49	79
370	255	141	156
371	255	141	156
372	196	41	1
373	237	35	38
374	200	14	30
375	151	6	14
376	232	132	127
377	197	75	73
378	220	159	65
379	248	151	117
380	255	153	109
381	255	192	152
382	180	9	18
383	255	79	57
384	255	98	53
385	174	85	23
386	174	85	23
387	107	29	29
388	164	103	77
389	186	88	87
390	223	44	57
391	182	20	16
392	223	125	48
393	107	29	29
394	164	103	77
395	186	88	87
396	223	44	57
397	182	20	16
398	223	125	48
399	213	74	1
400	138	76	21
401	228	109	73
402	92	25	16
403	254	160	64
404	151	26	25
405	143	51	38
406	254	84	91
407	161	6	0
408	212	31	56
409	199	23	12
410	146	9	5
411	184	6	5
412	149	55	56
413	213	74	1
414	138	76	21
415	228	109	73
416	92	25	16
417	254	160	64
418	151	26	25
419	208	22	16
420	208	22	16
421	208	22	16
422	163	27	21
423	226	112	127
424	186	104	41
425	245	74	36
426	245	135	108
427	208	22	16
428	163	27	21
429	226	112	127
430	186	104	41
431	245	74	36
432	245	135	108
433	207	90	88
434	207	90	88
435	220	94	23
436	213	39	17
437	220	94	23
438	213	39	17
439	255	255	255
440	255	255	255
441	202	74	24
442	241	86	84
443	238	98	84
444	202	74	24
445	241	86	84
446	238	98	84
447	213	39	17
448	213	39	17
449	207	90	88
450	220	94	23
451	207	90	88
452	220	94	23
453	241	100	115
454	226	98	108
455	234	73	76
456	213	73	61
457	253	52	67
458	228	67	63
459	255	33	50
460	193	51	42
461	225	52	39
462	253	144	121
463	248	134	124
464	236	147	81
465	219	148	151
466	242	127	116
467	236	95	89
468	233	91	58
469	248	127	101
470	242	119	77
471	241	93	48
472	230	73	41
473	208	108	81
474	187	96	58
475	191	90	57
476	252	72	110
477	250	28	66
478	232	44	47
479	228	33	0
480	153	61	65
481	138	15	0
482	168	31	13
483	142	35	38
484	228	98	86
485	253	111	63
486	217	94	62
487	239	70	66
488	178	87	73
489	205	67	0
490	200	64	43
491	178	50	0
492	232	49	70
493	190	36	43
494	158	61	51
495	178	48	48
496	137	51	40
497	130	46	46
498	128	49	41
499	236	121	120
500	254	127	105
501	250	89	80
502	201	56	45
503	196	89	55
504	240	165	111
505	159	85	47
506	216	83	94
507	229	68	59
508	214	46	73
509	212	54	64
510	191	63	58
511	179	38	36
512	179	12	9
513	215	107	95
514	222	99	79
515	209	104	69
516	215	81	45
517	158	95	48
518	151	67	43
519	161	81	71
520	172	91	80
521	110	49	33
522	237	62	85
523	229	26	35
524	231	48	45
525	149	12	9
526	240	119	105
527	225	83	74
528	189	75	37
529	200	95	89
530	166	63	57
531	135	68	46
532	223	133	150
533	201	109	113
534	238	105	116
535	230	72	65
536	198	57	51
537	158	56	47
538	121	34	26
539	234	111	96
540	226	93	85
541	171	60	39
542	198	70	51
543	162	52	42
544	211	86	77
545	174	80	75
546	179	94	90
547	176	100	38
548	190	70	41
549	160	19	13
550	189	13	13
551	147	47	42
552	148	37	43
553	174	101	107
554	238	145	149
555	226	108	118
556	233	94	90
557	232	54	66
558	227	69	55
559	199	7	12
560	200	42	25
561	160	0	5
562	226	185	184
563	159	96	88
564	242	128	106
565	207	98	70
566	213	62	21
567	189	71	38
568	182	61	35
569	73	27	3
570	64	33	24
571	232	126	193
572	228	22	62
573	67	45	52
574	164	1	0
575	193	44	38
576	188	89	69
